pais_key,1995,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 Afghanistan,..,..,0.745,0.751,0.743,0.734,0.724,0.714,0.702,0.69,0.673,..,0.655
 Albania,..,0.334,0.306,0.242,0.249,0.23,0.221,0.217,0.207,0.205,0.187,0.186,0.181
 Algeria,0.682,0.624,0.552,0.507,0.5,0.419,0.416,0.424,0.427,0.425,0.434,0.433,0.429
 Angola,..,..,..,..,..,..,..,0.537,0.534,0.531,0.539,0.537,0.536
 Argentina,0.427,0.417,0.372,0.358,0.354,0.351,0.348,0.345,..,0.338,0.332,0.328,0.328
 Armenia,0.479,0.473,0.392,0.342,0.337,0.32,0.307,0.308,0.309,0.303,0.266,0.264,0.245
 Australia,0.18,0.16,0.139,0.138,0.132,0.127,0.119,0.116,0.11,0.108,0.104,0.103,0.097
 Austria,0.186,0.15,0.118,0.111,0.106,0.102,0.093,0.09,0.089,0.087,0.079,0.076,0.069
 Azerbaijan,..,..,0.341,0.313,0.314,0.315,0.318,0.321,0.316,0.317,0.319,0.321,0.323
 Bahamas,..,0.403,0.363,0.38,0.378,0.379,0.376,0.373,0.367,0.363,0.343,0.343,0.341
 Bahrain,..,..,0.321,0.247,0.221,0.234,0.23,0.226,0.236,0.235,0.231,0.213,0.212
 Bangladesh,0.708,0.683,0.638,0.592,0.591,0.585,0.579,0.57,0.562,0.555,0.542,0.54,0.537
 Barbados,0.392,0.359,0.351,0.327,0.323,0.319,0.306,0.301,0.306,0.298,0.286,0.261,0.252
 Belarus,..,..,..,0.15,0.149,0.154,0.153,0.153,0.153,0.138,0.134,0.128,0.118
 Belgium,0.162,0.122,0.104,0.091,0.086,0.081,0.074,0.063,0.057,0.054,0.052,0.048,0.043
 Belize,0.554,0.516,0.484,0.459,0.455,0.44,0.435,0.43,0.423,0.412,0.418,0.416,0.415
 Benin,0.681,0.673,0.655,0.625,0.633,0.628,0.624,0.619,0.624,0.619,0.614,0.613,0.612
 Bhutan,..,..,..,..,..,0.507,0.536,0.512,0.492,0.481,0.47,0.428,0.421
 Bolivia (Plurinational State of),..,0.587,0.55,0.491,0.487,0.483,0.477,0.44,0.44,0.431,0.424,0.419,0.417
 Bosnia and Herzegovina,..,..,..,0.228,0.201,0.193,0.183,..,0.168,0.167,0.161,0.158,0.149
 Botswana,0.568,0.519,0.512,0.506,0.504,0.5,0.496,0.483,0.481,0.478,0.473,0.472,0.465
 Brazil,0.532,0.51,0.474,0.456,0.452,0.448,0.448,0.442,0.439,0.436,0.428,0.41,0.408
 Brunei Darussalam,..,..,..,..,..,..,..,..,..,0.299,0.269,0.262,0.255
 Bulgaria,0.37,0.329,0.253,0.244,0.243,0.229,0.217,0.236,0.227,0.225,0.214,0.213,0.206
 Burkina Faso,..,..,0.641,0.614,0.61,0.605,0.601,..,0.619,0.616,0.605,0.605,0.594
 Burundi,..,0.624,0.567,0.532,0.528,0.523,0.519,0.515,0.509,0.508,0.505,0.504,0.504
 Cabo Verde,..,..,..,..,..,..,..,..,0.416,0.404,0.4,0.398,0.397
 Cambodia,0.658,0.598,0.568,0.506,0.502,0.497,0.493,0.488,0.483,0.478,0.475,0.473,0.474
 Cameroon,0.706,0.696,0.654,0.617,0.614,0.611,0.577,0.575,0.572,0.569,0.566,0.561,0.56
 Canada,0.184,..,0.139,0.132,0.124,0.121,0.119,0.116,0.114,0.101,0.095,0.088,0.08
 Central African Republic,0.743,0.711,0.693,0.693,0.68,0.678,..,..,..,0.694,0.682,0.68,0.68
 Chad,..,..,..,..,..,..,..,..,0.714,0.713,0.718,0.709,0.71
 Chile,0.483,0.433,0.377,0.342,0.331,0.325,0.309,0.303,0.3,0.288,..,0.253,0.247
 China,..,0.269,0.227,0.194,0.189,0.186,0.178,0.175,0.172,0.169,0.168,0.167,0.168
 Colombia,0.524,0.501,0.494,0.468,0.466,0.463,0.461,0.436,0.433,0.431,0.431,0.432,0.428
 Congo,..,0.623,0.625,0.613,0.608,0.605,0.602,0.59,0.588,0.584,0.571,0.57,0.57
 Congo (Democratic Republic of the),..,..,0.654,0.661,..,0.655,0.626,0.637,0.641,0.638,0.636,0.635,0.617
 Costa Rica,0.467,0.427,0.349,0.331,0.323,0.313,0.313,0.321,0.316,0.319,0.311,0.291,0.288
 Croatia,0.285,0.205,0.157,0.146,0.144,0.139,0.133,0.127,0.151,0.16,0.131,0.126,0.116
 Cuba,0.422,0.383,0.34,0.32,0.313,0.317,0.316,0.316,0.315,0.312,0.31,0.305,0.304
 Cyprus,0.331,0.253,0.14,0.132,0.139,0.137,0.134,0.118,0.114,0.091,0.089,0.088,0.086
 Czechia,0.252,..,0.153,0.135,0.133,0.133,0.138,0.139,0.134,0.135,0.132,0.135,0.136
 C�te d'Ivoire,0.707,..,0.688,0.678,0.667,0.667,0.664,0.665,0.664,0.66,0.65,0.648,0.638
 Denmark,0.096,0.076,0.064,0.056,0.052,0.049,0.046,0.044,0.044,0.042,0.041,0.04,0.038
 Dominican Republic,0.55,0.494,0.494,0.488,0.483,0.48,0.478,0.477,0.472,0.458,0.457,0.456,0.455
 Ecuador,0.592,0.502,0.475,0.425,0.424,0.417,0.403,0.399,0.391,0.383,0.385,0.385,0.384
 Egypt,0.668,0.637,0.579,..,..,0.574,..,..,..,0.452,0.451,0.45,0.449
 El Salvador,0.508,0.511,0.482,0.435,0.433,0.412,0.405,0.4,0.388,0.386,0.384,0.384,0.383
 Estonia,0.392,0.291,0.227,0.176,0.192,0.18,0.162,0.171,0.144,0.142,0.118,0.105,0.086
 Eswatini (Kingdom of),0.621,0.633,0.592,0.559,0.555,0.551,0.566,0.564,0.562,0.56,0.559,0.567,0.567
 Ethiopia,..,..,0.622,0.587,0.583,0.579,0.57,0.561,0.534,0.528,0.522,0.519,0.517
 Fiji,0.506,..,0.435,..,..,..,..,0.377,0.371,0.374,0.38,0.369,0.37
 Finland,0.101,0.085,0.088,0.077,0.073,0.07,0.067,0.064,0.063,0.06,0.057,0.054,0.047
 France,0.185,0.162,0.138,0.107,0.105,0.091,0.089,0.087,0.085,0.081,0.061,0.055,0.049
 Gabon,0.622,0.603,0.581,0.553,0.551,0.545,0.541,0.541,0.537,0.536,0.53,..,0.525
 Gambia,0.757,0.75,0.654,0.658,0.654,0.651,0.647,0.634,0.631,0.627,0.618,0.614,0.612
 Georgia,0.431,0.409,0.391,0.406,0.406,0.364,0.366,0.362,0.359,0.335,0.329,0.327,0.331
 Germany,0.156,0.13,0.117,0.097,0.093,0.091,0.083,0.081,0.076,0.076,0.084,0.084,0.084
 Ghana,0.632,..,0.574,0.577,0.576,..,0.559,0.557,0.556,0.553,0.542,0.54,0.538
 Greece,0.284,0.221,0.179,0.157,0.148,0.135,0.132,0.127,0.124,0.126,0.129,0.125,0.116
 Guatemala,0.59,0.59,0.585,0.549,0.539,0.528,0.528,0.511,0.509,0.5,0.505,0.503,0.479
 Guyana,..,0.55,0.525,0.498,0.492,0.491,0.483,0.479,0.477,0.472,0.466,0.463,0.462
 Haiti,..,..,0.593,..,0.632,0.637,0.635,0.633,0.632,0.776,0.639,0.638,0.636
 Honduras,..,0.521,0.464,0.47,0.469,0.466,..,0.434,0.427,0.424,..,0.425,0.423
 Hungary,0.322,0.293,0.265,0.244,0.247,0.241,0.243,0.235,0.235,0.239,0.243,0.23,0.233
 Iceland,0.184,0.148,0.125,0.099,0.098,0.093,0.088,0.083,0.075,0.066,0.069,0.063,0.058
 India,0.696,..,0.624,0.59,0.585,0.581,0.573,0.561,0.55,0.541,0.525,0.512,0.488
 Indonesia,0.574,0.563,0.55,0.508,0.504,0.5,0.498,0.5,0.494,0.491,0.478,0.474,0.48
 Iran (Islamic Republic of),0.657,0.593,0.511,0.519,0.516,0.511,0.512,0.516,0.507,0.455,0.451,0.455,0.459
 Iraq,0.707,0.664,..,0.575,0.572,0.571,0.572,0.578,0.566,0.556,0.584,0.581,0.577
 Ireland,0.203,0.198,0.191,0.17,0.153,0.148,0.139,0.135,0.128,0.111,0.105,0.099,0.093
