pais_key,1990,1995,2000,2005,2010,2015,2019
 Afghanistan,15.8,16,15.5,16,15.9,17.2,18.4
 Albania,24,24.6,27,29.1,32.2,34.9,36.4
 Algeria,18,19.4,21.7,24.1,26,27.5,28.5
 Angola,16.1,16.1,16.3,16.4,16.4,16.4,16.7
 Antigua and Barbuda,25.2,26.5,28.1,29.5,31.1,32.6,34
 Argentina,27,27.1,27.6,28.5,29.6,30.5,31.5
 Armenia,27.2,29.4,30.6,31.8,32.9,33.8,35.4
 Australia,32.1,33.6,35.4,36.5,36.8,37.2,37.9
 Austria,36.5,36.3,38.2,40,41.9,43.2,43.5
 Azerbaijan,24.1,24.6,25.6,27.1,28.7,30.3,32.3
 Bahamas,23.6,25,27,28.1,29.4,30.9,32.3
 Bahrain,25.4,26.4,26.6,27.8,30.1,31.2,32.5
 Bangladesh,18.6,19.6,21,22.5,24,25.7,27.6
 Barbados,28.4,31.2,33.7,35.5,37.3,39,40.5
 Belarus,33.1,34.7,36.5,38.1,38.9,39.5,40.3
 Belgium,36.5,37.6,39,40.3,40.9,41.3,41.9
 Belize,17.9,18.4,19.2,20.3,21.9,23.7,25.5
 Benin,17.1,17.2,17.3,17.6,17.9,18.2,18.8
 Bhutan,18.1,18.4,19.5,21.4,23.3,25.7,28.1
 Bolivia (Plurinational State of),20,20.5,21.1,21.9,22.9,24.1,25.6
 Bosnia and Herzegovina,29.8,33.1,35,36.9,38.9,40.7,43.1
 Botswana,17.2,18.3,19.7,21,22.2,23,24
 Brazil,22.6,23.9,25.3,27.1,29.2,31.4,33.5
 Brunei Darussalam,23.1,24,25.5,26.8,27.5,29.9,32.3
 Bulgaria,36.5,38.2,39.7,41.1,42.3,43.4,44.6
 Burkina Faso,16.3,16.3,16.4,16.6,16.7,17,17.6
 Burundi,16.1,14.9,15,16.2,17,17.1,17.3
 Cabo Verde,16.8,17.1,18,19.8,22.6,25.1,27.6
 Cambodia,17.9,17.3,18.1,20.4,22.7,23.9,25.6
 Cameroon,16.7,16.8,17.2,17.6,17.9,18.2,18.7
 Canada,32.9,34.8,36.8,38.6,39.6,40.4,41.1
 Central African Republic,18.1,18.2,18.1,18,17.7,17.1,17.6
 Chad,16.2,15.8,15.5,15.4,15.6,16,16.6
 Chile,25.7,27,28.7,30.5,32.2,33.8,35.3
 China,24.9,27.4,30,32.6,35,36.7,38.4
 Colombia,21.9,22.9,24.1,25.7,27.5,29.5,31.3
 Comoros,17,17.1,17.7,18.4,19.1,19.7,20.4
 Congo,17.4,18,18.6,18.9,19.2,18.9,19.2
 Congo (Democratic Republic of the),17.4,17.2,17.1,17,16.9,16.8,17
 Costa Rica,23,24.1,25.3,27.2,29.1,31.2,33.5
 Croatia,35.8,37.9,38.9,40.5,41.7,43.1,44.3
 Cuba,27.7,30.2,32.8,35.6,38.4,40.8,42.2
 Cyprus,29.9,31,31.8,32.9,33.9,34.9,37.3
 Czechia,35.3,36.1,37.5,38.7,39.6,41.4,43.2
 C�te d'Ivoire,17.5,17.8,18,17.8,17.9,18.3,18.9
 Denmark,37.1,37.7,38.4,39.6,40.6,41.6,42.3
 Djibouti,17.4,18.1,19.3,20.1,23.4,25,26.6
 Dominican Republic,20.3,21.4,22.5,23.7,25,26.5,28
 Ecuador,20.5,21.6,22.6,23.7,25,26.5,27.9
 Egypt,19.7,20.2,21.1,22.5,23.7,24.3,24.6
 El Salvador,19.6,20.9,22,23,24.2,25.7,27.6
 Equatorial Guinea,19.1,18.9,19.6,20.6,21.5,22.1,22.3
 Eritrea,17.4,15.6,16.6,19.1,19.8,19.2,19.2
 Estonia,34.4,36.4,38,39.4,40.2,41.6,42.4
 Eswatini (Kingdom of),15.6,16.6,17.7,18.5,19,19.7,20.7
 Ethiopia,16.8,16.7,16.6,16.7,17.3,18.3,19.5
 Fiji,20.9,21.6,22.1,25.3,26.5,27,27.9
 Finland,36.4,37.8,39.4,40.9,42,42.5,43.1
 France,34.8,36.2,37.7,38.9,40.1,41.2,42.3
 Gabon,19.3,19,19.3,20,21.2,22.3,22.5
 Gambia,18.2,17.1,16.5,16.7,17.1,17.5,17.8
 Georgia,31,32.8,34.7,35.9,37,37.7,38.3
 Germany,37.6,38.4,40.1,42.1,44.3,45.9,45.7
 Ghana,17.6,18.1,18.5,19.2,20,20.7,21.5
 Greece,35.1,36.5,38,39.4,41.1,43.4,45.5
 Grenada,20.4,22.1,23.9,26,29.2,30.6,32
 Guatemala,16.9,17.2,17.7,18.5,19.7,21.3,22.9
 Guinea,17.5,17,16.7,16.4,16.7,17.1,18
 Guinea-Bissau,16.8,16.8,17,17.6,18.1,18.4,18.8
 Guyana,21.1,21.7,22.7,23.1,24.5,25,26.7
 Haiti,18.5,18.5,19.1,20.3,21.5,22.7,24
 Honduras,16.9,17.5,18.2,19.3,20.7,22.5,24.3
" Hong Kong, China (SAR)",31,34,36.2,39.1,41.2,43.2,44.8
 Hungary,36.4,37.5,38.5,39.1,40.1,41.7,43.3
 Iceland,30,31.5,32.9,34.3,34.8,36,37.5
 India,21.1,21.8,22.7,23.8,25.1,26.8,28.4
 Indonesia,21.3,22.8,24.4,25.6,27.2,28.5,29.7
 Iran (Islamic Republic of),17.2,18.6,21.2,24.1,27,29.7,32
 Iraq,16.8,17.5,18.2,18.7,18.8,20,21
 Ireland,28.4,30.1,31.8,33.2,34.4,36.5,38.2
 Israel,25.9,27.3,28,28.7,30.1,30.2,30.5
 Italy,37,38.7,40.3,41.9,43.5,45.4,47.3
 Jamaica,22.2,23.5,24.9,26.2,27.5,29,30.7
 Japan,37.3,39.4,41.2,43,44.7,46.4,48.4
 Jordan,16.8,19.1,19.6,20.6,21.3,22.1,23.8
 Kazakhstan,26,27.1,27.8,28.6,28.9,29.4,30.7
 Kenya,15.4,16.4,17,17.6,18.1,18.9,20.1
 Kiribati,20.4,19.6,19.7,20.7,21.6,22.3,23
 Korea (Democratic People's Rep. of),25,27.3,29.4,31.5,33,34.1,35.3
 Korea (Republic of),27,29.3,31.9,34.8,38,40.8,43.7
 Kuwait,23.5,26.6,27.8,28.2,29.5,33.5,36.8
 Kyrgyzstan,21.8,21.6,22.5,23.8,24,25.1,26
 Lao People's Democratic Republic,17.6,17.6,18,19.1,20.7,22.8,24.4
 Latvia,34.7,36.2,37.9,39.5,40.8,42.6,43.9
 Lebanon,20.7,23.2,25.1,25.6,27.8,27.6,29.6
 Lesotho,17.1,18.2,19,20.3,21.7,23,24
 Liberia,17.4,18,18.4,18.4,18.5,18.8,19.4
 Libya,18.5,20.2,22.1,24,25.7,27.1,28.8
 Lithuania,32.7,34,35.9,38.5,40.6,42.7,45.1
 Luxembourg,36.4,36.7,37.3,38.5,38.9,39.3,39.7
 Madagascar,17.1,17.2,17.3,17.5,18,18.7,19.6
 Malawi,17.5,17.4,16.9,16.6,16.6,17.2,18.1
 Malaysia,21.6,22.5,23.8,25,26,28.2,30.3
 Maldives,16.2,16.7,18.7,22.2,24.9,28.6,29.9
 Mali,16.5,16.5,16.6,16.5,16.2,16,16.3
 Malta,33.1,35,36.5,38.4,40.2,41.1,42.6
 Mauritania,17.4,17.6,17.9,18.5,19.1,19.6,20.1
 Mauritius,24.9,26.8,29,30.5,32.9,35.6,37.5
 Mexico,19.7,21.3,22.9,24.7,26.2,27.7,29.2
 Micronesia (Federated States of),17.6,17.7,18.9,19.5,21.5,22.8,24.4
 Moldova (Republic of),29.9,30.8,31.3,32.4,34.2,35.6,37.6
 Mongolia,19.3,20.3,22,24,25.7,27.1,28.2
 Montenegro,29.8,32.2,34.4,35,36.4,37.7,38.8
 Morocco,19.8,21.1,22.7,24.5,26.4,27.9,29.5
 Mozambique,16.5,17.7,17.6,17.3,17,17.1,17.6
 Myanmar,20.7,22,23.3,24.5,26.1,27.5,29
 Namibia,17.5,18,18.5,19.5,20.5,21.1,21.8
 Nepal,18.7,19,19.3,20.2,21.7,22.2,24.6
 Netherlands,34.6,36,37.5,39,40.8,42.1,43.3
 New Zealand,31.1,32.6,34.3,35.5,36.6,37.3,38
 Nicaragua,16.9,17.9,19.3,21.1,22.9,24.6,26.5
 Niger,15.8,16,15.9,15.4,15,14.9,15.2
 Nigeria,17.4,17.7,17.9,18,17.9,17.9,18.1
 North Macedonia,29.2,30.7,32.3,34,35.7,37.4,39.1
 Norway,35.4,36.1,36.9,38,38.7,39.2,39.8
 Oman,17.9,20.9,20.9,22.9,26.2,29,30.6
 Pakistan,18.5,18.4,18.8,19.6,20.7,21.8,22.8
" Palestine, State of",15.7,15.7,16,17,18.2,19.5,20.8
 Panama,21.7,23.1,24.5,25.9,27.2,28.4,29.7
 Papua New Guinea,18.7,19.3,19.8,20.4,20.9,21.5,22.4
 Paraguay,19.3,19.6,20.3,21.7,23.1,24.7,26.3
 Peru,20.1,21.2,22.7,24.1,25.5,27.5,31
 Philippines,19.2,19.8,20.5,21.3,23.1,24.1,25.7
 Poland,32.2,33.6,35,36.6,38.1,39.7,41.7
 Portugal,34.2,36,37.8,39.4,41.6,43.9,46.2
 Qatar,28.7,29,30.5,31,31.6,31.5,32.3
 Romania,32.6,33.9,34.9,37.1,39.4,41.3,43.2
 Russian Federation,33.4,35,36.5,37.3,38,38.6,39.6
 Rwanda,15.3,18.3,17.4,18.1,18.9,19.4,20
 Saint Lucia,21.4,23.1,24.2,26.1,30.3,32.4,34.5
 Saint Vincent and the Grenadines,20.4,22.3,24.2,26.3,29.2,31.6,32.9
 Samoa,18.7,19.1,19.5,20.3,20.8,20.9,21.8
 Sao Tome and Principe,15.7,16.3,17.2,17.6,18.3,18.3,18.6
 Saudi Arabia,19.5,19.4,21.3,23.7,26,30,31.8
 Senegal,16.5,16.9,17.3,17.8,18,18.1,18.5
 Serbia,33.2,34.1,36.1,37.2,38.7,40.5,41.6
 Seychelles,21.9,24.5,26.2,28.9,31.3,32.8,34.2
 Sierra Leone,18,17.7,17.7,17.9,18.2,18.7,19.4
 Singapore,29.3,32.4,34.8,36.4,37.9,39.7,42.2
 Slovakia,31.2,32.4,33.9,35.4,37.3,39.2,41.2
 Slovenia,34.2,36.2,38.1,40.1,41.6,43,44.5
 Solomon Islands,17,17.9,18.7,19.1,19.5,19.6,19.9
 Somalia,17.8,17.3,16.5,16.1,15.9,16.2,16.7
 South Africa,19.8,21.3,22.6,23.8,25,26.4,27.6
 South Sudan,17.8,17.7,17.6,17.7,18,18.4,19
 Spain,33.4,35.5,37.6,39.1,40,42.5,44.9
 Sri Lanka,24.2,25.8,27.6,29,30.4,32.3,34
 Sudan,17,17.7,17.9,18.1,18.3,18.9,19.7
 Suriname,22.6,23.6,24.8,25.5,26.7,27.9,29
 Sweden,38.4,38.5,39.4,40.3,40.7,40.9,41.1
 Switzerland,36.9,37.2,38.6,40,41.5,42.2,43.1
 Syrian Arab Republic,16.3,17.5,18.7,19.6,21.1,23.6,25.6
 Tajikistan,18.1,17.8,18.3,19.8,21.3,22,22.4
 Tanzania (United Republic of),17,17.2,17.4,17.4,17.4,17.6,18
 Thailand,24.3,26.6,30.2,32.8,35.5,37.9,40.1
 Timor-Leste,20.6,20.4,17.6,17.6,18.2,19.6,20.8
 Togo,16.8,17.1,18,18.3,18.5,18.8,19.4
 Tonga,19.7,19.8,19.9,21,21.2,21.9,22.4
 Trinidad and Tobago,24.1,25.7,27.7,29.8,31.9,33.8,36.2
 Tunisia,21.3,23.1,25.1,27.2,29.3,31.3,32.8
 Turkey,22.1,23.5,24.9,26.6,28.3,29.9,31.5
 Turkmenistan,19.6,20.1,21.7,23,24.4,25.6,26.9
 Uganda,15.9,15.5,15.2,15.2,15.4,15.9,16.7
 Ukraine,35.3,36.4,37.8,39.1,39.5,40,41.2
 United Arab Emirates,26.6,27.7,28,29.7,31.8,32.6,32.6
 United Kingdom,35.8,36.5,37.6,38.7,39.5,40,40.5
 United States,32.8,34,35.2,36.1,36.9,37.6,38.3
 Uruguay,30.7,31.1,31.6,32.7,33.9,35,35.8
 Uzbekistan,19.6,19.8,21,22.8,24.4,26.2,27.8
 Vanuatu,18.1,18.5,18.8,19.8,21.2,20.8,21.1
 Venezuela (Bolivarian Republic of),20.9,22,23.2,24.5,25.8,27.3,29.6
 Viet Nam,21.1,22.3,24.2,26.4,28.5,30.5,32.5
 Yemen,14.4,14.9,15.5,16.6,17.9,19.1,20.2
 Zambia,16.2,16.4,16.6,16.3,16.2,16.7,17.6
 Zimbabwe,16.9,17.6,18.2,18.3,18.6,18.4,18.7
