pais_key,1991,1995,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 Afghanistan,86,90.2,91.9,89.5,82.6,81.1,78.4,76.4,74.6,72.9,71.3,69.3,67.9,66.3
 Albania,15.5,9.4,9.4,4.7,1.6,2,2.3,1.7,1.4,1.3,1.2,1,0.9,0.8
 Algeria,21.5,15.4,6.6,2.5,1.3,1.2,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.3
 Angola,54.2,55.5,51.2,47.4,50.9,54.7,54.4,53.9,53.5,53.3,53.6,53.7,53.6,53.3
 Argentina,1.3,3.8,7.7,5.1,1.6,0.7,0.8,0.7,0.8,0.7,0.7,0.7,0.7,0.7
 Armenia,53.9,55.9,47.3,20.6,14.5,13.1,11.6,13,10.9,8,8.4,6.7,6.4,6.2
 Azerbaijan,0.4,1,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
 Bahamas,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
 Bangladesh,80,73.8,68.1,61.5,55.5,54.2,52.9,51.7,50.6,49.3,48,46.4,44.5,42.6
 Barbados,1.1,0.9,0.7,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3
 Belarus,29,48,21.2,0.8,0.2,0.1,0.1,0.2,0.3,0.3,0.3,0.2,0.2,0.2
 Belize,20,23,19.6,12.6,9.7,9.3,8.8,8.5,8.1,7.8,8,7.6,7.3,7.1
 Benin,77.7,77.3,75.8,74.3,72.3,71.3,72.1,72.1,71.8,71.4,70.8,69.8,68.6,67.5
 Bhutan,65.6,62.4,55,38.5,22.6,19.8,16.6,15.4,14.4,15.4,14.4,13.8,12.3,11.2
 Bolivia (Plurinational State of),34.9,31.3,38.5,29.9,14.4,12.6,13,11.1,11.5,10.6,11.6,10.9,11,10
 Bosnia and Herzegovina,35.3,19.9,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1
 Botswana,50.7,45.9,44.8,38.6,28.7,29.6,30.5,30.5,30.9,32.1,32.3,31.2,29.8,28.3
 Brazil,30.3,20.2,18.7,13.1,6.2,5.5,4.6,3.2,2.1,3,4,4.3,4.1,3.8
 Brunei Darussalam,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
 Burkina Faso,93.9,93.4,89,81.4,78.8,77.2,75.7,74.4,73.6,72.7,71.7,70.8,69.9,69.1
 Burundi,94.6,95.6,95.3,93.4,90.9,90.5,90,89.5,88.9,89.1,89.2,89.3,89.4,89.4
 Cabo Verde,56.1,51.1,36.6,24.1,16.2,15.2,14.7,14.3,14,13.6,13,12.4,11.5,10.9
 Cambodia,92.7,93.1,91.4,84.3,73.1,74.9,69.3,62.6,57,52,46.3,42.5,39.5,36.8
 Cameroon,71,71.2,56,50.5,43.3,42.9,42.4,41.6,40.9,39.1,37.6,36.3,35,33.6
 Central African Republic,93.4,92.1,88.8,85.5,83.3,83.4,83.4,84.1,84,83.8,83.5,83.1,82.7,82.5
 Chad,87,87,87,82.9,70.5,66.4,65.5,64.6,63.7,63.1,63.2,63,62.4,61.7
 Chile,13.5,8.9,7.5,4.2,1.9,1.4,1,0.8,0.8,0.9,0.7,0.5,0.5,0.5
 China,84.6,77,65.5,42.5,28.1,23.3,20.1,12.6,10.1,7.7,6.9,6.3,5.7,5.2
 Colombia,18.8,21.8,23.5,17,12.8,11,8.6,9.2,8.2,7.1,7.1,6.1,5.6,5.2
 Comoros,34.4,33.7,30.3,27.8,29.3,29.8,30.3,30.7,31.5,31.2,30.8,30.4,29.8,29.3
 Congo,76.3,76.1,75.3,73.8,62.2,60,60.2,59.8,59.1,58.7,59.2,59.7,59.3,59
 Congo (Democratic Republic of the),97.3,98.1,98.4,98.3,95.8,94.2,88.7,88.4,88,87.7,87.5,87.2,86.9,86.5
 Costa Rica,18.7,10.3,10.1,5,1.6,1.5,1.8,1.7,1.5,1.6,1.2,0.8,0.8,0.7
 Cuba,5.5,4.7,3.7,2.1,1.3,1.3,1.2,1.1,1.1,1,1,0.9,0.9,0.8
 C�te d'Ivoire,48.7,48.9,55.6,56,56.1,57.1,56.1,56.5,56.2,55.7,54,51.9,50,48.2
 Dominican Republic,14.9,10.5,9.3,12.7,9,7.6,8.2,7.2,5.2,4.2,3.7,3.4,3.1,2.8
 Ecuador,33.3,29.2,46.5,23.3,12.9,10.6,10,8.7,7.2,8.3,8.5,8,8,7.8
 Egypt,33.8,34.1,20.7,28.9,20.1,18.6,15.4,14.3,14.3,13.3,13.3,12.8,12.3,11.9
 El Salvador,30.6,22.1,19,18,13.7,12.1,11.2,8.8,8.4,6.4,6.8,5.1,4.6,4.4
 Equatorial Guinea,59.7,57,44.3,33.3,25.3,24.3,24.4,24.1,23.8,24.7,25.3,24.5,24.6,24.9
 Eritrea,83.7,81.5,79.1,75.4,77.4,77.2,77.2,77.7,76.9,77.4,76.7,76.7,75.7,75.1
 Eswatini (Kingdom of),30.1,26.8,21.6,18,15.7,15.4,15,14.6,14.4,14.3,13.9,13.7,13.6,13.5
 Ethiopia,89.6,89.8,90.2,78.8,74.2,72.6,71.8,70.9,69.9,68.8,68.1,66.2,64.5,63
 Fiji,35.3,29.4,22.7,13.7,11.9,11.5,11,10.3,9.7,9.3,8.9,8.3,7.7,7.2
 Gabon,20.9,20.6,19.9,18.7,11,9.6,8.5,7.6,6.9,6.2,5.8,5.4,5.4,5.3
 Gambia,81,82.3,76.9,60.2,48.1,44.7,41.2,38.2,35.8,33.3,33.2,32.7,32.2,31.6
