,pais_key,tiempo_key,porcentajeGastoEducacion,educacion_key,porcentajeGastoSalud,salud_key,indicadorPobreza,pobreza_key,indicadorDemografico,demografia_key,indicadorDesarrolloHumano
4,1,38,3.12562,1.0,8.7,1.0,71.3,1.0,0.69,2.0,0.502
5,1,38,3.12562,1.0,8.7,1.0,64.0,2.0,0.69,2.0,0.502
6,1,38,3.12562,1.0,7.1,2.0,71.3,1.0,0.69,2.0,0.502
7,1,38,3.12562,1.0,7.1,2.0,64.0,2.0,0.69,2.0,0.502
8,1,38,12.82317,3.0,8.7,1.0,71.3,1.0,0.69,2.0,0.502
9,1,38,12.82317,3.0,8.7,1.0,64.0,2.0,0.69,2.0,0.502
10,1,38,12.82317,3.0,7.1,2.0,71.3,1.0,0.69,2.0,0.502
11,1,38,12.82317,3.0,7.1,2.0,64.0,2.0,0.69,2.0,0.502
12,1,37,4.08791,1.0,8.5,1.0,72.9,1.0,17.2,1.0,0.5
13,1,37,4.08791,1.0,8.5,1.0,72.9,1.0,0.702,2.0,0.5
14,1,37,4.08791,1.0,3.5,2.0,72.9,1.0,17.2,1.0,0.5
15,1,37,4.08791,1.0,3.5,2.0,72.9,1.0,0.702,2.0,0.5
16,1,37,4.08791,1.0,7.9,3.0,72.9,1.0,17.2,1.0,0.5
17,1,37,4.08791,1.0,7.9,3.0,72.9,1.0,0.702,2.0,0.5
18,1,37,19.10585,3.0,8.5,1.0,72.9,1.0,17.2,1.0,0.5
19,1,37,19.10585,3.0,8.5,1.0,72.9,1.0,0.702,2.0,0.5
20,1,37,19.10585,3.0,3.5,2.0,72.9,1.0,17.2,1.0,0.5
21,1,37,19.10585,3.0,3.5,2.0,72.9,1.0,0.702,2.0,0.5
22,1,37,19.10585,3.0,7.9,3.0,72.9,1.0,17.2,1.0,0.5
23,1,37,19.10585,3.0,7.9,3.0,72.9,1.0,0.702,2.0,0.5
24,1,36,4.51116,1.0,8.7,1.0,74.6,1.0,0.714,2.0,0.5
25,1,36,4.51116,1.0,8.7,1.0,57.0,2.0,0.714,2.0,0.5
26,1,36,4.51116,1.0,3.5,2.0,74.6,1.0,0.714,2.0,0.5
27,1,36,4.51116,1.0,3.5,2.0,57.0,2.0,0.714,2.0,0.5
28,1,36,4.51116,1.0,11.8,3.0,74.6,1.0,0.714,2.0,0.5
29,1,36,4.51116,1.0,11.8,3.0,57.0,2.0,0.714,2.0,0.5
30,1,36,22.24014,3.0,8.7,1.0,74.6,1.0,0.714,2.0,0.5
31,1,36,22.24014,3.0,8.7,1.0,57.0,2.0,0.714,2.0,0.5
32,1,36,22.24014,3.0,3.5,2.0,74.6,1.0,0.714,2.0,0.5
33,1,36,22.24014,3.0,3.5,2.0,57.0,2.0,0.714,2.0,0.5
34,1,36,22.24014,3.0,11.8,3.0,74.6,1.0,0.714,2.0,0.5
35,1,36,22.24014,3.0,11.8,3.0,57.0,2.0,0.714,2.0,0.5
41,2,39,3.538,1.0,56.93594,4.0,1.0,1.0,0.187,2.0,0.79
42,2,39,29.34387,2.0,56.93594,4.0,1.0,1.0,0.187,2.0,0.79
43,2,39,12.12391,3.0,56.93594,4.0,1.0,1.0,0.187,2.0,0.79
44,2,39,5.86924,4.0,56.93594,4.0,1.0,1.0,0.187,2.0,0.79
45,2,39,19.83156,5.0,56.93594,4.0,1.0,1.0,0.187,2.0,0.79
46,2,33,3.26868,1.0,6.4,1.0,2.0,1.0,0.249,2.0,0.764
47,2,33,3.26868,1.0,8.9,2.0,2.0,1.0,0.249,2.0,0.764
48,2,33,3.26868,1.0,189.0,3.0,2.0,1.0,0.249,2.0,0.764
49,2,33,11.17719,3.0,6.4,1.0,2.0,1.0,0.249,2.0,0.764
50,2,33,11.17719,3.0,8.9,2.0,2.0,1.0,0.249,2.0,0.764
51,2,33,11.17719,3.0,189.0,3.0,2.0,1.0,0.249,2.0,0.764
52,2,32,3.15719,1.0,6.0,1.0,1.6,1.0,32.2,1.0,0.745
53,2,32,3.15719,1.0,6.0,1.0,1.6,1.0,0.242,2.0,0.745
54,2,32,3.15719,1.0,9.0,2.0,1.6,1.0,32.2,1.0,0.745
55,2,32,3.15719,1.0,9.0,2.0,1.6,1.0,0.242,2.0,0.745
56,2,32,3.15719,1.0,177.8,3.0,1.6,1.0,32.2,1.0,0.745
